"类别","项目","主队/值","客队/值","详情"
"比赛信息","主队","Shanghai Port","",""
"比赛信息","客队","Wuhan Three Towns","",""
"比赛信息","日期","Friday March 1, 2024","",""
"比赛信息","比分","0","0",""
"比赛信息","场馆","","",""
"比赛信息","观众","21,713","",""
"","","","",""
"主队球员","姓名","号码","位置","分钟/进球/助攻"
"客队球员","姓名","号码","位置","分钟/进球/助攻"
"","","","",""
"统计数据","项目","主队","客队",""
"统计","控球率","100%","100%",""
"统计","射正","8","5",""
"统计","射门","21","9",""
"统计","控球率","67%","33%",""
"统计","射正","8","5",""
"统计","射门","21","9",""
"统计","控球率","67%","33%",""
"统计","射正","8","5",""
"统计","射门","21","9",""
"统计","控球率","67%","33%",""
"统计","射正","8","5",""
"统计","射门","21","9",""
